avg_press    volume
nan nan
nan nan
nan nan
nan 34360.509
nan 34998.571
nan nan
nan nan
nan nan
nan nan
nan nan
nan 38993.482
412742.2546714502 39687.505
nan nan
nan nan
nan nan
nan nan
nan nan
224952.5163121547 44025.240999999995
203624.42581766506 44777.57799999999
nan nan
nan 46307.86699999999
nan nan
nan 47872.63
nan nan
nan nan
nan nan
86134.90893882177 51107.114000000016
nan 51937.881000000016
nan nan
61561.93135259315 53626.32700000002
55148.9584893001 54484.101999999984
49144.23941817725 55350.976000000024
43377.75596236627 56226.99500000001
38815.25296160624 57112.20999999999
nan nan
30813.001099697885 58910.414
26895.193807527692 59823.49899999999
24330.31575780463 60745.97199999998
21484.57014451158 61677.878999999986
19113.245038267873 62619.268000000004
16919.67551170695 63570.18799999999
14790.83154443605 64530.685999999994
12818.07655891239 65500.810999999994
11319.544500125881 66480.61
9734.828133396273 67470.132
8661.29565641994 68469.424
7291.807189954683 69478.53500000002
6243.893291087613 70497.512
5435.9385389728095 71526.404
4586.502984327794 72565.25899999999
3914.535333836858 73614.12300000002
3423.382360876133 74673.047
2807.144523602719 75742.07600000002
2414.9782996852973 76821.26099999998
2064.96444084718 77910.64800000002
1621.4731491062437 79010.285
1468.7414822998492 80120.221
1247.8996603979103 81240.50300000001
1053.01507280501 82371.17999999996
946.1167388587362 83512.29900000003
795.1695563578437 84663.909
667.2557606576979 85826.05700000002
602.1474668116742 86998.792
540.1515977665363 88182.162
484.9277709292221 90580.99600000003
464.2730200118793 91796.55700000002
480.23995758542304 93022.94399999997
395.0074113771152 94260.206
412.77601915449395 95508.38999999997
227.539396993857 96767.54499999998
6.617955602143235 98037.71799999998
-408.06952859091365 99318.95800000004
-913.3642643832599 100611.31000000003
-1482.6194839647576 101914.83000000002
-2156.994477809943 103229.56000000003
-2915.3937085966018 104555.54000000002
-3587.499119207049 105892.83000000002
-4277.096534403322 107241.48
-4993.408357356828 108601.53000000001
-5539.951984896161 109973.03000000001
-6230.062537789527 111356.03000000001
-6774.128263582577 112750.57000000005
-7295.378745034613 114156.70999999998
-7895.867683209565 115574.5
-8498.429963247325 117003.96999999999
-9117.030160037759 118445.17999999995
-9694.786550685965 119898.17999999995
-10275.042222655758 121363.00999999998
-10803.618074512271 122839.71999999999
-11345.929648961612 124328.37000000005
-11929.676329011958 125828.99000000002
-12497.249149024543 127341.63999999996
-13085.016540717434 128866.36000000004
-13721.629455632474 130403.20999999998
-14267.949223033353 131952.23
-14897.847981246066 133513.46
-15455.734616110762 135086.97
-16063.633859786029 136672.78
-16638.784377218377 138270.96
-17259.55302957835 139881.55000000002
-17880.148069351795 141504.60000000003
-18492.058660163624 143140.15999999997
-19101.99106444305 144788.27
-19696.61235103839 146448.98
-20292.110704090624 148122.34000000003
-20878.231471743235 149808.39999999997
-21457.324969536756 151507.21
-22028.252179232222 153218.81000000003
-22589.22651780994 154943.25
-23146.739738200125 156680.59
-23690.446041032093 158430.85999999993
-24230.103714285713 160194.12000000005
-24757.89605173065 161970.41999999998
-25278.879426233634 163759.79
