avg_press    volume
74728.55328423968 38734.495
67696.86768554884 39425.44799999999
nan nan
51688.77280387714 40831.907
46396.19435775428 41547.509000000005
nan 42271.422999999995
nan 43003.69799999999
nan 43744.381000000016
nan nan
23821.14264010574 45251.165
nan 46017.362000000016
nan nan
16060.283213445708 47575.604000000014
nan 48367.74500000001
nan 49168.63199999998
10467.343284725539 49978.310000000005
nan 50796.829000000005
8113.384513053877 51624.236000000004
6996.352963116818 52460.57999999999
5917.2150034664655 53305.908
5519.531392610776 54160.26899999998
4730.646769612286 55023.70999999999
4258.016526384694 55896.278999999995
3820.832294008057 56778.02500000001
3404.691658987915 57668.994999999995
3238.029236920947 59478.800999999985
2998.0928453423967 60397.731999999996
2828.5369647029206 61326.07999999999
2165.656145547583 62263.892
1255.032300151687 63211.216999999975
275.05958752709074 64168.101999999984
-877.9816139617699 65134.59499999999
-2025.2818766805137 66110.745
-3213.2300597683784 67096.59999999999
-4369.373035070493 68092.206
-5374.606381419939 69097.613
-6420.126780425478 70112.86899999998
-7442.282550855993 71138.02099999998
-8335.034493429002 72173.11699999998
-9347.979777681268 73218.206
-10111.997512713999 74273.33499999999
-11113.272018879798 75338.552
-12083.259459718027 76413.90599999999
-13030.45963154582 77499.44500000004
-13918.48958182276 78595.215
-14682.807206041536 79701.26600000003
-15428.913671491504 80817.64599999998
-16154.338468529708 81944.402
-16931.315977595972 83081.58199999997
-17810.205472432026 84229.23500000002
-18686.218662134943 85387.40800000002
-19607.23523325781 86556.15
-20462.062796953676 87735.50799999999
-21371.284234768376 88925.53000000001
-22306.09984340383 90126.26499999997
-23230.699847828826 91337.75999999998
-24157.88773942598 92560.064
-25073.869191339378 93793.224
-25979.434526686808 95037.28900000003
-26880.53679267372 96292.30499999996
-27774.537522029204 97558.323
-28651.440795946626 98835.38800000002
-29521.920630287008 100123.55000000002
-30382.5450775428 101422.86000000003
-31230.926904582073 102733.36000000003
-32067.74263255287 104055.1
-32894.34419700403 105388.12000000002
-33698.04425226586 106732.48999999999
-34494.809950528695 108088.23999999999
-35285.88416717019 109455.41999999998
-36065.65175944109 110834.08000000002
-36830.254641112784 112224.27
-37578.08914023162 113626.03000000001
-38306.50239539275 115039.41999999998
-38827.40028147029 116464.48999999999
-39151.486338746225 117901.27
-39842.304755538775 119349.82000000005
-40561.06691402316 120810.18999999997
-41272.468500629395 122282.41999999995
-41968.230819234646 123766.57000000005
-42660.120984390735 125262.66999999995
-43339.7320781722 126770.79000000002
-44005.011760825786 128290.95999999998
-44660.08949647533 129823.23
-45302.316083081576 131367.65999999997
-45937.15644498993 132924.29
-46562.146910498486 134493.15999999997
-47171.53492170191 136074.33000000002
-47776.0873435297 137667.85000000003
-48370.75771236153 139273.76
-48953.96177127391 140892.10999999993
-49526.57133043807 142522.94999999998
-50089.304863670695 144166.32000000004
-50645.25296286505 145822.28
-51189.849296072505 147490.87000000005
-51725.538903826775 149172.14000000007
-52252.707163016115 150866.14000000007
-52769.88466717019 152572.91999999998
-53277.253625755286 154292.52
-53777.88006633937 156024.99
-54266.670561807645 157770.39000000007
-54749.51184415912 159528.75
-55222.54617585599 161300.12999999995
-55688.601585347424 163084.57
-56146.32159944613 164882.12999999995
-56594.90898703424 166692.84
-57036.04481596173 168516.77
-57469.790672583076 170353.95
-57897.06046210977 172204.43
-58316.99674483888 174068.27
-58727.521230110775 175945.50999999995
-59134.33372104733 177836.18999999997
-59533.56613922457 179740.37000000005
-59926.29075113293 181658.10000000006
-60311.12856533233 183589.41999999995
-60689.33425440585 185534.37999999995
-61062.77716163141 187493.02999999994
-61427.72325213998 189465.41
-61787.945470040286 191451.58000000005
-62139.95133849446 193451.58000000005
-62488.135147784495 195465.46
-62828.67713305639 197493.27000000002
-63162.90885863545 199535.06000000003
-63491.824048716015 201590.87000000005
-63813.95251787512 203660.75
-64129.27212348942 205744.75999999995
-64440.1734412135 207842.93
-64745.98864425982 209955.31999999995
-65043.872108257805 212081.97000000012
-65339.499145896276 214222.93999999997
-65626.73183585095 216378.25999999995
-65912.54409843907 218548.0
-66187.40464274924 220732.18999999997
-66461.23405639477 222930.87999999995
-66727.33661341893 225144.12999999995
-66989.52266477844 227371.97999999998
-67246.14987839879 229614.47000000012
-67501.22687185297 231871.66999999995
-67746.2448970292 234143.60000000003
-67990.36240823264 236430.33000000005
-68227.33018504531 238731.89999999997
-68462.28607275932 241048.3599999999
-68690.90934076032 243379.7599999999
-68916.35880853474 245726.1400000001
-69136.18762046828 248087.54999999993
