avg_press    volume
nan nan
nan nan
nan 28590.508
nan nan
nan nan
nan nan
nan nan
nan nan
nan 32090.38900000001
nan nan
nan nan
nan 33942.644
nan 34575.53899999999
119178.7487172709 35216.25300000001
105572.23632175225 35864.83400000002
nan nan
nan 37185.789
70335.31154251145 37858.258000000016
62599.47979859013 38538.786
55053.64004755301 39227.42099999999
47406.39518101711 39924.211
nan 40629.203
36305.853354103725 41342.446
30848.425501510577 42063.988000000005
27551.87696577947 42793.87699999999
22473.538293554884 43532.161
18918.675456964003 44278.88699999999
16912.383390231622 45034.104000000014
nan 45797.859
11430.52269471299 46570.20200000001
9295.42755533736 47351.179
8138.1043780715 48140.83900000001
6382.923606570997 48939.22999999999
4595.267863909869 49746.40000000001
4147.895496840781 50562.395999999986
2674.6653795808156 51387.267
1959.9414401622987 52221.060999999994
1241.242665507395 53063.82499999998
1001.9223281466263 53915.60899999998
388.73538529904926 54776.45900000003
245.90756637663077 55646.424
-285.8542276969094 56525.550999999985
-705.2868447073885 57413.89000000001
-718.3185495476863 58311.48699999999
-602.4286240866728 59218.39100000003
-625.9807637844235 60134.648999999976
-822.0650300998691 61060.310999999994
-525.5014933422784 61995.42299999998
-473.02179579007 62940.03399999999
-515.5565547683673 63894.19200000002
-540.0111449422985 64857.94400000001
-730.0902710601032 65831.33900000002
-735.3877116346639 66814.42500000002
-797.831644185506 67807.25
-658.1857282080829 68809.86199999998
-839.4756092383309 69822.30799999999
-845.1841077897332 70844.637
-860.8335337745468 71876.897
-693.7439469122772 72919.13599999998
-729.4799063833907 73971.40099999998
-731.9339313636518 75033.741
-685.3186569750629 76106.20400000001
-756.376744104003 77188.83700000003
-600.9284729332905 78281.68999999997
-629.2767304070444 79384.80899999998
-642.0792559324168 80498.24299999999
-654.9600937948514 81622.04000000001
-665.0400318407703 82756.24699999999
-601.1524486444072 83900.91299999997
-655.1222063085096 85056.08599999998
-622.6239706711317 86221.814
-604.2129756856161 87398.14400000001
-619.2983086590118 88585.12600000002
-575.8872319158321 89782.80600000003
-583.0079307509916 90991.23199999999
-516.4486582178814 92210.45399999998
-523.6263041993693 93440.51800000001
-477.70048944001013 94681.473
-483.60496945008555 95933.36700000003
-404.1635591176624 97196.24799999998
-391.90170350484317 98470.16299999997
-356.8144301867808 99755.16100000001
-361.2509625953005 101051.29000000002
-379.95218183518756 102358.6
-337.3513056089066 103677.12999999998
-343.50478025431414 105006.93999999997
-329.012481472092 106348.07000000005
-323.4813155831062 107700.58000000002
-326.7280029102061 109064.5
-293.77659268166224 110439.88999999994
-296.90396554974006 111826.79000000002
-261.5188955236776 113225.25
-250.4335258808062 114635.33000000002
-242.73954625016364 116057.07000000005
-240.53228158107376 117490.50999999998
-229.05960388507992 118935.69999999995
-219.83265609580752 120392.69999999995
-213.19599982673418 121861.55000000005
-182.3248353799922 123342.30000000005
-181.08395712809312 124835.0
-180.02523970789252 126339.68999999996
-170.3865600891779 127856.41999999997
-172.6270061048516 129385.25
-171.3984888385825 130926.20999999998
-168.84477883913746 132479.35999999993
-171.1084790961902 134044.74
-169.85507477390925 135622.40999999997
-170.8440049108316 137212.40999999997
-175.296395109602 138814.79
-175.68299760143097 140429.59000000003
-173.32677050071328 142056.87000000005
-175.77851138213896 143696.66999999998
-182.0769685679868 145349.04
-183.36214916463456 147014.03
-178.92787593976766 148691.68999999997
-175.57580218156187 150382.06000000003
-179.3900809530371 152085.18999999997
-184.3519551239566 153801.14000000007
-181.52151465745743 155529.93999999997
-188.74175315511292 157271.66
-178.89822266599822 159026.32
-181.7649854494355 160793.99
-178.12233869476793 162574.71
-175.5378299435829 164368.52999999997
-179.74868539457216 166175.49000000005
-182.274408236322 167995.64999999997
-180.987643863397 169829.05
-176.87682559361613 171675.75
-177.5763399111182 173535.77999999997
-171.09800707206784 175409.20000000004
-183.54386041470948 179196.39000000007
-179.97883797311934 181110.25
-182.3607714160555 183037.70000000004
-178.93627034519986 184978.76999999996
-198.27206357919206 186933.51999999996
-197.02576572012836 188901.99000000002
-227.03238330043095 190884.23000000004
-236.9301386866092 192880.29
-259.63474401901954 194890.22000000006
-330.2952889268955 196914.06000000003
-403.8305330760226 198951.8599999999
-495.82954285349274 201003.68000000002
-615.3780226066708 203069.54999999996
-743.2711195003146 205149.52999999994
-886.3864463624922 207243.66000000003
-1050.4395196777848 209352.0
-1219.7344961082442 211474.58999999997
-1408.965156007552 213611.48000000004
-1598.834073162135 215762.71
-1810.4635002517307 217928.33999999997
-2014.5994775707993 220108.41000000003
-2272.1949181120203 222302.9700000001
-2517.0532349528007 224512.06999999998
-2754.1879781497796 226735.75999999998
-3019.2953296035244 228974.08000000005
-3277.405883826306 231227.08999999997
-3539.000651390812 233494.81999999998
-3808.9059748143486 235777.33999999994
-4068.42448123348 238074.68000000002
-4302.23535807426 240386.8999999999
-4532.2301810950285 242714.04
-4792.877430295783 245056.1499999999
-5026.602107677784 247413.26999999996
-5279.65984678414 249785.4700000001
-5537.696894247954 252172.7799999999
-5785.144398477029 254575.25
-6038.919614398993 256992.93999999997
-6283.985953517936 259425.87999999992
-6518.656381208307 261874.12999999992
-6744.222544443046 264337.73
-6995.20644936438 266816.7400000001
-7239.974481661423 269311.20000000007
-7474.631001309 271821.14999999997
-7743.738485676527 274346.6600000001
-7989.080640818125 276887.75
-8254.983845845922 279444.4900000001
-8504.97985327879 282016.92
-8781.90421578351 284605.08999999997
-9020.380396626808 287209.04999999993
-9282.392372271868 289828.83999999997
-9540.580880591568 292464.5200000001
-9809.029653882944 295116.12000000005
-10075.53452188798 297783.71
-10339.752189427314 300467.32
-10603.7631404657 303167.0
-10864.578514033983 305882.80999999994
-11123.601205941592 308614.79
-11383.844106117824 311362.9900000001
-11637.947749748237 314127.45000000007
-11890.556195871097 316908.23
-12141.34973816717 319705.37000000005
-12390.263495594158 322518.92
-12635.640410120846 325348.94000000006
-12878.893072885196 328195.45000000007
-13119.951504531722 331058.53000000014
-13357.604471424975 333938.20000000007
-13592.16556054884 336834.53000000014
-13827.206871852972 339747.54999999993
-14055.70333182276 342677.33
-14284.362226963745 345623.89
-14508.711671072508 348587.29999999993
-14729.556426107752 351567.5999999999
-14950.036709340384 354564.8399999999
-15165.814490181268 357579.07
-15381.60580501007 360610.33
-15594.995056520645 363658.67
-15803.660951787513 366724.14
-16011.595051611279 369806.79999999993
-16215.457708585096 372906.68
-16418.38048363545 376023.83
