avg_press    volume
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan 44673.463999999985
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan 55231.061
nan nan
nan nan
nan 57882.947
nan nan
nan nan
nan nan
nan 61548.994
123053.98279707957 62489.07499999998
nan nan
102324.73416507 64397.85799999999
92235.75009453676 65366.65500000001
84106.67762713999 66345.12
76292.46050264352 67333.30099999999
nan 68331.246
61973.98597104733 69339.00199999998
56119.163762965756 70356.61899999998
50592.21945543806 71384.14300000001
46167.14614211984 72421.62399999998
41964.918309125234 73469.108
37543.5770414149 74526.64399999999
33454.441757930515 75594.28099999999
nan nan
nan nan
25035.11320279456 78858.26800000001
22627.03211644008 79966.784
19897.579388217524 81085.63999999998
17845.17091666667 82214.883
16175.560886203424 83354.56299999998
14356.204137713998 84504.72600000001
12925.994324647534 85665.42099999999
11577.837591641492 86836.696
10335.719367774422 88018.599
9205.61223556143 89211.178
8267.396900981872 90414.48099999999
7281.839924987412 91628.55600000003
6625.574976362492 92853.44999999995
nan nan
5221.947439332913 95335.89100000002
4805.0208879028205 96593.534
4264.114529439898 97862.18800000001
3838.004822356495 99141.902
3406.4023480110777 100432.71999999999
2986.1917113404656 101734.69999999995
2678.1656411453746 103047.87999999999
2407.0602920704846 104372.32000000005
2123.5628491567027 105708.05000000005
1906.0146525663938 107055.12999999999
1684.0991256161105 108413.61000000004
1494.2999269775928 109783.53000000001
1317.1732448980363 111164.93999999997
1153.621955716803 112557.89999999997
978.857913957961 113962.43999999996
821.747105267168 115378.62000000001
712.3711298787791 116806.48
581.1993061115685 118246.07000000005
478.283256216119 119697.43999999996
397.946762291138 121160.63999999994
307.965343855676 122635.71999999999
230.33127139193746 124122.71999999999
162.45821299664067 125621.68999999996
124.03735339027439 127132.67999999995
7.596444857905966 130190.91999999995
-32.10032109456634 131738.26
-114.86269450823286 133297.81000000003
-181.3505045218584 134869.62000000005
-194.98684308986404 136453.74
-226.27088195697405 138050.22
-281.1221825661015 139659.10000000003
-335.9345269329987 141280.42999999996
-430.30017572348817 142914.26
-527.9984003371021 144560.64000000007
-613.8555152394763 146219.60999999993
-741.4913594613796 147891.23
-949.3069347715546 149575.54
-1144.2849111013218 151272.59
-1399.9060564430458 152982.43
-1669.0871254751416 154705.10000000003
-1947.5691123725612 156440.66
-2239.6719267589683 158189.14999999997
-2602.625353977845 159950.62000000005
-2829.002552687224 161725.12000000005
-3215.548623234739 163512.68999999997
-3503.951635649547 165313.39000000007
-3836.298028373615 167127.25999999995
-4180.625488154582 168954.35000000003
-4583.223742069486 170794.71
-4911.712340407856 172648.37999999995
-5313.774778109265 174515.41999999998
-5688.20657811202 176395.87000000005
-6035.025091943605 178289.77999999994
-6377.000928965257 180197.20000000004
-6743.920028763847 182118.16999999995
-7084.825936543303 184052.74000000005
-7433.065995909377 186000.97000000006
-7760.751134915041 187962.8999999999
-8076.078898552366 189938.58000000005
-8393.272290547515 191928.04999999996
-8699.789543718529 193931.37000000005
-9012.219535129012 195948.58000000005
-9327.170104543738 197979.72000000006
-9648.066185349277 200024.8599999999
-9980.445627853996 202084.02999999994
-10316.199115305224 204157.29
-10661.657827942103 206244.66999999995
-11006.029140591565 208346.24000000002
-11354.808319360523 210462.04
-11707.228848584014 212592.1099999999
-12054.7132657017 214736.5
-12402.637591389726 216895.27000000002
-12751.171716389728 219068.46
-13095.281143630413 221256.1099999999
